Latitude(deg),Longitude(deg),(East),(North),Day,Hour,Minute,(m/s),(deg),u(m/s),v(m/s),w(m/s)," u""(m/s) "," v""(m/s) "," w""(m/s) ",uv(m/s),uw(m/s),vw(m/s)
39.705971,-7.74373,33394.18,4258.87,9,0,0,6.27555895,257.86459351,6.06524801,1.3041991,1.67033815,0.53648055,0.77756321,0.29888159,-0.30744076,0.07632517,-0.2475923
39.705971,-7.74373,33394.18,4258.87,9,0,5,6.50699139,256.75198364,6.3062191,1.48468566,1.49217319,0.23320715,0.39675295,0.18036282,0.03933476,-0.00475046,-0.11583029
39.705971,-7.74373,33394.18,4258.87,9,0,10,5.86769629,261.60812378,5.76636553,0.85066646,1.51616752,0.21929538,0.4502424,0.17602187,-0.04544612,-0.01504753,-0.12285707
39.705971,-7.74373,33394.18,4258.87,9,0,15,6.51773787,260.28231812,6.38874912,1.09407902,1.88456786,0.45834771,0.44778743,0.34934977,-0.07063361,0.04736821,-0.18895787
39.705971,-7.74373,33394.18,4258.87,9,0,20,6.27032709,262.40817261,6.16380692,0.82153147,1.59975851,0.59347641,0.66932708,0.3934415,-0.00472684,-0.01672793,-0.14727029
39.705971,-7.74373,33394.18,4258.87,9,0,25,6.02181435,252.27508545,5.6895504,1.81849384,1.55347764,0.33193222,0.71222734,0.21425429,0.16042207,-0.05168432,0.03003913
39.705971,-7.74373,33394.18,4258.87,9,0,30,6.48322153,249.40589905,6.02852726,2.26526546,1.68504083,0.30683398,0.53919917,0.20630419,-0.07142366,-0.03375004,-0.01842936
39.705971,-7.74373,33394.18,4258.87,9,0,35,6.80130005,250.13294983,6.376894,2.30425572,1.86950529,0.5052709,0.38365778,0.17596176,0.19913214,0.00020816,-0.03751224
39.705971,-7.74373,33394.18,4258.87,9,0,40,6.15739346,251.88258362,5.80193186,1.89831626,1.57170188,0.27321407,0.6074636,0.15763204,-0.12630667,-0.04800528,-0.0658404
39.705971,-7.74373,33394.18,4258.87,9,0,45,6.45033503,251.52651978,6.07467079,2.02943087,1.70220351,0.28189638,0.60863274,0.18764463,-0.0216681,0.00009465,-0.08263929
39.705971,-7.74373,33394.18,4258.87,9,0,50,6.40816784,247.74497986,5.88743067,2.40921354,1.79575288,0.45955285,0.48826531,0.21643539,-0.13497071,-0.02451282,-0.06085806
39.705971,-7.74373,33394.18,4258.87,9,0,55,5.78736973,240.30603027,4.99343109,2.84750628,1.52782512,0.39095259,0.43261653,0.24211411,-0.03757361,-0.11371102,0.00054041
39.705971,-7.74373,33394.18,4258.87,9,1,0,5.81720304,241.73226929,5.10094261,2.74286962,1.4239291,0.2020662,0.32727277,0.15147558,0.00898771,-0.04646623,-0.01110343
39.705971,-7.74373,33394.18,4258.87,9,1,5,5.38005638,242.19056702,4.7320838,2.49593997,1.30507576,0.16711664,0.35317931,0.17023222,-0.01053172,-0.01545682,-0.01537231
39.705971,-7.74373,33394.18,4258.87,9,1,10,5.42916536,247.02085876,4.97759628,2.11072564,1.45521486,0.4398286,0.29415056,0.16733308,0.10854107,0.01703583,-0.0047444
39.705971,-7.74373,33394.18,4258.87,9,1,15,5.40610552,240.43110657,4.65989828,2.6438458,1.38084447,0.20428105,0.53364575,0.1836624,-0.07328999,-0.05983543,-0.02909903
39.705971,-7.74373,33394.18,4258.87,9,1,20,5.74193764,240.1831665,4.93697071,2.82935548,1.54953372,0.5341149,0.61585689,0.22060424,0.01005502,-0.0537603,-0.05797811
39.705971,-7.74373,33394.18,4258.87,9,1,25,5.60490322,243.31509399,4.98498726,2.50554276,1.24561298,0.28608498,0.33877042,0.14813551,0.05798665,0.02337158,-0.00803161
39.705971,-7.74373,33394.18,4258.87,9,1,30,5.08777714,240.22789001,4.37239552,2.50126934,1.29572785,0.37659535,0.47818035,0.21784052,-0.06586035,-0.0093919,-0.04970356
39.705971,-7.74373,33394.18,4258.87,9,1,35,4.81912565,242.45329285,4.2218709,2.20214319,1.33677936,0.26991463,0.65303373,0.15464409,0.03527115,-0.01895886,-0.15659808
39.705971,-7.74373,33394.18,4258.87,9,1,40,4.79282904,238.69415283,4.06029034,2.46926308,1.12575281,0.33196944,0.30165979,0.19165678,-0.09095698,-0.09401705,0.0245278
39.705971,-7.74373,33394.18,4258.87,9,1,45,4.8258996,237.442276,4.04830313,2.5847919,1.17288637,0.17182636,0.24632987,0.237583,0.00836625,-0.098368,-0.01984808
39.705971,-7.74373,33394.18,4258.87,9,1,50,4.35389185,245.18191528,3.92459083,1.81491888,0.95756036,0.2546472,0.22730909,0.12444922,-0.03732528,-0.07391395,-0.00091572
39.705971,-7.74373,33394.18,4258.87,9,1,55,3.87915039,247.80625916,3.57175422,1.45715106,1.00153899,0.23043264,0.13818461,0.08231355,-0.01661573,-0.0275188,0.02315883
39.705971,-7.74373,33394.18,4258.87,9,2,0,3.7748971,250.45324707,3.54637766,1.25909591,0.75196201,0.14063384,0.10787902,0.07877257,0.04077103,-0.00564649,-0.01242334
39.705971,-7.74373,33394.18,4258.87,9,2,5,3.51020432,249.09843445,3.25681567,1.24375939,0.59908408,0.08483879,0.15243523,0.06896492,-0.0413554,-0.01943977,0.02023361
39.705971,-7.74373,33394.18,4258.87,9,2,10,3.1089108,249.94781494,2.90108943,1.05890322,0.86360925,0.05975245,0.11632743,0.09352453,-0.02958463,-0.03042522,0.04373626
39.705971,-7.74373,33394.18,4258.87,9,2,15,3.78253365,253.59703064,3.61834025,1.06513953,0.73513824,0.10539169,0.07007383,0.05795716,-0.01036602,0.00038081,0.009993
39.705971,-7.74373,33394.18,4258.87,9,2,20,4.07400513,256.76098633,3.95532799,0.93055642,0.93879765,0.10374337,0.06703996,0.06492348,-0.03136506,0.02148775,-0.01481524
39.705971,-7.74373,33394.18,4258.87,9,2,25,3.54573345,255.26690674,3.39574528,0.89295375,0.4431479,0.09504482,0.23628743,0.08231494,-0.03587252,-0.0010411,-0.02492231
39.705971,-7.74373,33394.18,4258.87,9,2,30,3.1207428,257.64144897,3.03783441,0.66560841,0.70235342,0.06721954,0.07138754,0.04445207,0.01160308,-0.00560445,-0.00464794
39.705971,-7.74373,33394.18,4258.87,9,2,35,3.72964668,247.81741333,3.43311071,1.39980948,0.8317802,0.12554497,0.18954991,0.09598299,0.0186336,0.00082839,-0.00564136
39.705971,-7.74373,33394.18,4258.87,9,2,40,3.7448895,238.14506531,3.16539764,1.96683419,0.91269988,0.05975181,0.16067873,0.06355708,-0.00297092,-0.01040656,0.01434877
39.705971,-7.74373,33394.18,4258.87,9,2,45,3.6776011,232.99415588,2.9209857,2.2015872,0.78876585,0.06174267,0.14976947,0.05404989,-0.03262273,0.00338369,-0.00122195
39.705971,-7.74373,33394.18,4258.87,9,2,50,3.41250157,242.49368286,2.98266864,1.55309677,0.86412656,0.11197039,0.35364822,0.1267972,-0.05259697,-0.04238908,-0.04311507
39.705971,-7.74373,33394.18,4258.87,9,2,55,3.14891481,249.22463989,2.92226577,1.10862684,0.6838181,0.0768712,0.14490798,0.06720843,-0.01773762,-0.00837348,0.00108525
39.705971,-7.74373,33394.18,4258.87,9,3,0,3.43838644,243.60842896,3.0627892,1.51982033,0.68359095,0.19084594,0.10553082,0.09216655,-0.01465355,-0.06713179,0.02056625
39.705971,-7.74373,33394.18,4258.87,9,3,5,3.20779514,241.50369263,2.79303885,1.51626301,0.77179182,0.11886777,0.14302596,0.07739446,-0.06421314,-0.00461345,0.00385414
39.705971,-7.74373,33394.18,4258.87,9,3,10,2.88037634,243.1237793,2.55206919,1.29340732,0.62046635,0.05507708,0.10240847,0.03761514,-0.01932464,-0.00538004,0.00317086
39.705971,-7.74373,33394.18,4258.87,9,3,15,2.57948613,235.96290588,2.11988091,1.43187535,0.54312742,0.10829427,0.06064943,0.03701297,-0.03939817,-0.02127123,0.01112919
39.705971,-7.74373,33394.18,4258.87,9,3,20,2.55446625,238.51089478,2.15281487,1.31868374,0.65239173,0.04348885,0.17965989,0.05466593,-0.00495592,0.00360795,-0.00462027
39.705971,-7.74373,33394.18,4258.87,9,3,25,2.95214701,232.91607666,2.33057022,1.76156867,0.65198702,0.10449957,0.13005228,0.04015846,-0.05860885,0.00821212,-0.00223975
39.705971,-7.74373,33394.18,4258.87,9,3,30,2.64255333,229.92251587,1.99937057,1.68228424,0.47100583,0.13588572,0.10756055,0.04788835,-0.03864692,-0.00291369,0.01045979
39.705971,-7.74373,33394.18,4258.87,9,3,35,2.75258517,223.42926025,1.86421835,1.96934021,0.47301131,0.17292723,0.14796931,0.05306435,-0.06087545,0.00419064,-0.00844831
39.705971,-7.74373,33394.18,4258.87,9,3,40,3.18244529,222.75428772,2.15371513,2.32952619,0.60540974,0.09928872,0.08488607,0.03687197,0.03170441,0.0026967,0.00296896
39.705971,-7.74373,33394.18,4258.87,9,3,45,3.03072882,213.72673035,1.66715086,2.49726248,0.53085762,0.12002705,0.12547468,0.03575685,-0.04882903,0.00787474,-0.02740847
39.705971,-7.74373,33394.18,4258.87,9,3,50,3.21666002,219.08718872,2.01576567,2.48153281,0.57700866,0.14621665,0.05645853,0.04643575,-0.01556994,0.03643904,-0.01130048
39.705971,-7.74373,33394.18,4258.87,9,3,55,2.96973658,229.55488586,2.24966097,1.91766763,0.70490426,0.15468675,0.1419078,0.06633677,0.06767734,0.03431355,-0.00016911
39.705971,-7.74373,33394.18,4258.87,9,4,0,3.79747748,222.39878845,2.52591562,2.76634812,0.67421883,0.47861785,0.70464242,0.21042049,0.25722215,-0.00597678,-0.02988417
39.705971,-7.74373,33394.18,4258.87,9,4,5,4.52157021,222.76144409,3.03839636,3.28560114,0.89445204,0.36501029,0.352815,0.14786834,-0.06538864,-0.03706706,-0.0523683
39.705971,-7.74373,33394.18,4258.87,9,4,10,4.27297401,231.83021545,3.32955956,2.61726332,0.94736052,0.2312935,0.25868839,0.09224188,-0.08397222,-0.0094834,-0.02884028
39.705971,-7.74373,33394.18,4258.87,9,4,15,3.59537911,239.16513062,3.06879306,1.83189976,0.70165056,0.21867146,0.13022593,0.05915612,0.00463982,-0.00713224,0.00772729
39.705971,-7.74373,33394.18,4258.87,9,4,20,3.32876444,229.88882446,2.53206182,2.13303804,0.62623084,0.09862036,0.16720079,0.06591669,0.01781165,-0.03058034,0.00307145
39.705971,-7.74373,33394.18,4258.87,9,4,25,3.70379043,223.68423462,2.51463723,2.63286686,0.57099581,0.44584438,0.24958393,0.11763757,-0.09545416,0.00280227,-0.0250023
39.705971,-7.74373,33394.18,4258.87,9,4,30,3.90633702,204.86390686,1.63011456,3.51758122,0.64618754,0.20285702,0.27400464,0.1251426,-0.01295576,-0.00018107,-0.01831673
39.705971,-7.74373,33394.18,4258.87,9,4,35,3.91697168,204.51506042,1.60578561,3.52112269,0.70129579,0.24493018,0.43491974,0.19722746,-0.06460906,0.03748831,-0.05568293
39.705971,-7.74373,33394.18,4258.87,9,4,40,4.82755566,200.56051636,1.6896584,4.50468493,0.80865759,0.14234141,0.25089592,0.10210273,0.00213812,0.01135058,-0.01819364
39.705971,-7.74373,33394.18,4258.87,9,4,45,4.84728193,201.81181335,1.78820264,4.46815443,0.75489259,0.37120229,0.47682893,0.18836607,0.10176893,0.01119459,-0.02887945
39.705971,-7.74373,33394.18,4258.87,9,4,51,3.58662868,235.96376038,1.99543655,1.34777641,0.78218687,3.28849578,5.5092268,0.27862698,-3.00815153,0.27904963,-0.42407039
39.705971,-7.74373,33394.18,4258.87,9,4,56,5.37568474,243.38804626,4.71376991,2.36171007,1.07350433,0.31037095,1.14462161,0.23258352,-0.16404359,-0.00748808,0.11363086
39.705971,-7.74373,33394.18,4258.87,9,5,1,4.78212643,243.35197449,4.22352982,2.11941648,1.04082429,0.23592041,0.63458323,0.12469329,-0.00010493,-0.04055734,-0.01037137
39.705971,-7.74373,33394.18,4258.87,9,5,6,4.17536306,238.22244263,3.53757215,2.19146967,0.96997005,0.17345029,0.14275585,0.08848954,0.03864859,-0.02678749,0.00506831
39.705971,-7.74373,33394.18,4258.87,9,5,11,3.25082994,242.8416748,2.85995817,1.46718991,0.78921217,0.14401254,0.19096561,0.08207855,-0.06222318,0.00742511,-0.02158801
39.705971,-7.74373,33394.18,4258.87,9,5,16,3.29372931,225.04475403,2.31130576,2.30769849,0.62503749,0.06637976,0.2210993,0.0674267,-0.03769126,0.00257927,-0.01796176
39.705971,-7.74373,33394.18,4258.87,9,5,21,3.5327611,220.75297546,2.28716135,2.65410304,0.59813958,0.14922842,0.16567037,0.11675522,-0.05180323,0.01674165,-0.016262
39.705971,-7.74373,33394.18,4258.87,9,5,26,3.72506523,213.91322327,2.05789447,3.06094456,0.55328393,0.17690837,0.2627472,0.08322745,-0.05682443,-0.00329133,-0.00568915
39.705971,-7.74373,33394.18,4258.87,9,5,31,4.1880002,217.25476074,2.52366018,3.31820965,0.65540475,0.20366547,0.26634297,0.09269709,0.07521112,0.01872347,0.00298054
