Latitude(deg),Longitude(deg),(East),(North),Day,Hour,Minute,(m/s),(deg),u(m/s),v(m/s),w(m/s),"u""(m/s)","v""(m/s)","w""(m/s)",uv(m/s),uw(m/s),vw(m/s)
39.703129,-7.748782,32960.86,3942.3,9,0,0,0.97889465,125.30541229,-0.56926346,0.40314171,0.06312615,0.61471742,0.66475421,0.26656574,-0.40225643,0.14395839,-0.21541378
39.703129,-7.748782,32960.86,3942.3,9,0,5,1.01094007,128.9909668,-0.60816461,0.49232313,-0.08327167,0.41544309,0.22949977,0.14766528,-0.07909852,0.0810196,-0.09921716
39.703129,-7.748782,32960.86,3942.3,9,0,10,0.84730327,129.28651428,-0.5242275,0.42886922,0.0631528,0.28676859,0.22280736,0.16487683,-0.04669082,0.08286412,-0.06576118
39.703129,-7.748782,32960.86,3942.3,9,0,15,0.67383653,168.44847107,-0.09481736,0.46390611,0.09206632,0.18512881,0.25040892,0.17159483,-0.02074487,-0.00570994,-0.06373756
39.703129,-7.748782,32960.86,3942.3,9,0,20,0.77597183,121.41119385,-0.54497731,0.33280173,0.15803866,0.39787024,0.31545022,0.19795674,-0.14613305,0.11035333,-0.15716584
39.703129,-7.748782,32960.86,3942.3,9,0,25,0.64884228,143.0280304,-0.27894878,0.37055463,0.09812167,0.22227676,0.13977671,0.10280448,-0.04434876,0.03908321,-0.05041052
39.703129,-7.748782,32960.86,3942.3,9,0,30,0.62976575,179.38230896,-0.00530771,0.49231502,0.19588734,0.14922199,0.0885969,0.05819725,-0.0037971,0.01994275,-0.03390623
39.703129,-7.748782,32960.86,3942.3,9,0,35,0.70454347,125.75606537,-0.39595887,0.28511322,-0.02051491,0.08776625,0.30048767,0.1598272,-0.03690536,0.00801391,-0.10976446
39.703129,-7.748782,32960.86,3942.3,9,0,40,0.75216085,285.32220459,0.59413242,-0.16278388,0.04476754,0.28320765,0.15422688,0.12548153,-0.03498652,-0.10642843,0.01230195
39.703129,-7.748782,32960.86,3942.3,9,0,45,0.96194363,273.77536011,0.5832842,-0.03848973,0.07627229,0.23364197,0.53893906,0.15542504,0.01998026,-0.02872485,-0.01344195
39.703129,-7.748782,32960.86,3942.3,9,0,50,0.81259286,186.88279724,0.05243813,0.43441918,0.06843333,0.35508966,0.49710426,0.14807335,-0.20155299,0.05071265,-0.15530914
39.703129,-7.748782,32960.86,3942.3,9,0,55,0.63632399,244.53974915,0.4245249,0.20212653,0.06924346,0.16304953,0.12374324,0.1259625,-0.00005711,-0.02815077,-0.03109062
39.703129,-7.748782,32960.86,3942.3,9,1,0,0.65214801,130.87893677,-0.35829088,0.31013086,-0.01346942,0.20716184,0.10344294,0.11783095,-0.00608102,-0.07213084,0.00455301
39.703129,-7.748782,32960.86,3942.3,9,1,5,0.72522122,300.85980225,0.33885702,-0.20247906,0.02811198,0.13887596,0.31463245,0.17469096,0.06162783,0.02886193,-0.02218725
39.703129,-7.748782,32960.86,3942.3,9,1,10,0.64534533,271.09634399,0.46165353,-0.00883483,0.10423166,0.27482024,0.16688904,0.07219834,-0.05513492,-0.04630298,0.01908177
39.703129,-7.748782,32960.86,3942.3,9,1,15,0.5014329,212.7925415,0.12191166,0.18922399,0.09161473,0.19311123,0.09758057,0.05586016,0.01269285,-0.03492919,-0.01087194
39.703129,-7.748782,32960.86,3942.3,9,1,20,0.73318338,289.89233398,0.21055074,-0.07618638,-0.21685386,0.22865123,0.44149542,0.12920123,-0.110392,-0.00264732,-0.03152816
39.703129,-7.748782,32960.86,3942.3,9,1,25,0.43236968,296.30020142,0.16234273,-0.08023547,0.11594068,0.09199884,0.1140926,0.05573909,-0.02587153,0.02533321,-0.02523515
39.703129,-7.748782,32960.86,3942.3,9,1,30,0.62817466,170.35400391,-0.0539297,0.31730205,0.17533411,0.30914173,0.14512964,0.09778472,-0.13399152,0.03253156,-0.03955493
39.703129,-7.748782,32960.86,3942.3,9,1,35,0.5793348,258.78405762,0.4628216,0.09177501,0.15837,0.13042146,0.12990867,0.03060357,0.09653752,0.00395986,0.00381003
39.703129,-7.748782,32960.86,3942.3,9,1,40,0.4822818,344.7086792,0.06030775,-0.22057933,0.08059824,0.08656877,0.15712743,0.12282428,-0.01885699,0.0081214,-0.05026477
39.703129,-7.748782,32960.86,3942.3,9,1,45,0.62126452,245.80825806,0.23221546,0.10432157,0.00046992,0.30220497,0.12818706,0.09880724,-0.02747154,0.00274518,0.02307801
39.703129,-7.748782,32960.86,3942.3,9,1,50,0.79292715,261.46850586,0.55509037,0.08327087,0.1191818,0.26189184,0.27728084,0.10516048,-0.02341751,-0.05490283,-0.03314058
39.703129,-7.748782,32960.86,3942.3,9,1,55,1.05086744,221.71643066,0.48794419,0.54734033,0.07866333,0.57727414,0.23255792,0.11358271,0.03093236,-0.03250744,-0.05770922
39.703129,-7.748782,32960.86,3942.3,9,2,0,0.64412504,188.93145752,0.07994146,0.50866801,0.09483586,0.1194502,0.19616035,0.05241187,-0.03739012,-0.01764187,0.01021954
39.703129,-7.748782,32960.86,3942.3,9,2,5,0.51092666,186.9552002,0.0467233,0.38300651,0.07003333,0.12289122,0.0586438,0.03445649,0.01251131,0.00214005,-0.01929928
39.703129,-7.748782,32960.86,3942.3,9,2,10,0.58477151,194.0778656,0.12097394,0.4824062,0.08291785,0.09383664,0.08215641,0.02771808,0.02713075,0.00379097,-0.01588863
39.703129,-7.748782,32960.86,3942.3,9,2,15,0.41405338,152.98243713,-0.15325513,0.3005524,0.06458757,0.05730833,0.06289756,0.03691791,0.00799154,0.00026803,-0.01663506
39.703129,-7.748782,32960.86,3942.3,9,2,20,0.41885957,179.44491577,-0.00296391,0.30592659,0.105035,0.07519393,0.05096659,0.02874806,0.00678088,-0.00082644,-0.01925852
39.703129,-7.748782,32960.86,3942.3,9,2,25,0.39578736,185.18444824,0.02832715,0.31220162,0.04712881,0.06268906,0.02369204,0.03448335,-0.00258222,-0.00432854,-0.00420578
39.703129,-7.748782,32960.86,3942.3,9,2,30,0.37293977,153.93025208,-0.10243889,0.20938355,0.0803766,0.07955815,0.05643578,0.02254936,0.00343126,0.00915887,-0.01036173
39.703129,-7.748782,32960.86,3942.3,9,2,35,0.33454701,172.13104248,-0.04189254,0.30310959,0.03829195,0.02121131,0.04209063,0.01451398,-0.00432421,-0.00186381,-0.00962003
39.703129,-7.748782,32960.86,3942.3,9,2,40,0.48678195,186.64508057,0.04832613,0.41481194,-0.01349167,0.06454991,0.04663393,0.04149885,0.02062698,-0.01420972,-0.01539991
39.703129,-7.748782,32960.86,3942.3,9,2,45,0.38987455,197.70098877,0.10149821,0.3180171,0.09216797,0.0437217,0.03402057,0.01920868,0.01134544,0.00132553,-0.01099057
39.703129,-7.748782,32960.86,3942.3,9,2,50,0.61532182,191.72991943,0.10312943,0.49668694,0.03207632,0.13193515,0.17387663,0.02538309,0.08897437,-0.01241255,-0.0421797
39.703129,-7.748782,32960.86,3942.3,9,2,55,0.34789866,135.97315979,-0.1930656,0.19973797,0.10548078,0.03805427,0.0611082,0.02874084,-0.01843892,0.00853927,-0.02591105
39.703129,-7.748782,32960.86,3942.3,9,3,0,0.16786948,199.11166382,0.0442469,0.12769338,0.08701883,0.00845666,0.0130486,0.00631114,0.0030414,-0.00017254,-0.00327207
39.703129,-7.748782,32960.86,3942.3,9,3,5,0.35542813,194.00170898,0.07397334,0.2966533,0.06116166,0.03437736,0.04878468,0.01601857,0.00334315,-0.00172317,-0.01192965
39.703129,-7.748782,32960.86,3942.3,9,3,10,0.41166729,165.27612305,-0.07668521,0.29181117,0.02386935,0.07246505,0.0596275,0.03520885,-0.00279164,-0.00121249,-0.02544135
39.703129,-7.748782,32960.86,3942.3,9,3,15,0.41697925,146.14614868,-0.18639216,0.27786398,0.09338943,0.05906291,0.03846978,0.02329673,0.0077052,-0.00048209,-0.00809801
