Latitude (deg) , Longitude(deg)  UTM (East) ,, UTM (North) ,, Day ,,, Hour ,, Minute , Wind (m/s) , Wind (deg) , u(m/s) ,, v(m/s) ,, w(m/s) ,," u""(m/s) ",," v""(m/s) ",," w""(m/s) ",, uv(m/s) ,, uw(m/s) ,, vw(m/s) 
39.703129,-7.748782,32960.86,3942.3,9,0,0,2.72840786,270.98117065,   2.65279508   -0.04543295 ,1.20092952,0.6022442,0.36470887,0.12477373,0.0366089,-0.00151521,-0.03245752,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,5,2.47735381,271.93286133,   2.44022512   -0.08235132 ,1.0336709,0.46812135,0.17467718,0.1243831,0.00560579,-0.03278938,-0.0103723,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,10,2.893152,276.0657959,   2.85513687   -0.30340236 ,1.06706786,0.31001702,0.1109295,0.05687578,-0.0030459,0.0159867,0.00724169,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,15,3.23157525,267.74145508,   3.16967249    0.12500975 ,1.20637906,0.54115129,0.3629778,0.16386656,-0.03575387,0.00906604,-0.03704725,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,20,2.74794817,271.97387695,   2.66388416   -0.09180947 ,1.16359484,0.72141653,0.42255116,0.20769458,0.0924822,-0.16358109,-0.00505956,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,25,3.14802313,252.97531128,   2.97445416    0.91078371 ,1.11293447,0.48952013,0.32934594,0.12943357,0.20067106,0.03193713,0.06317425,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,30,3.37537909,252.81576538,   3.17592192    0.98215479 ,1.29351807,0.44012648,0.37018999,0.18435311,0.06116891,0.01548582,-0.03801801,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,35,3.56200004,257.34069824,   3.44202256    0.77312523 ,1.34746099,0.87199402,0.25636283,0.15574972,0.16738422,-0.05599287,-0.02558515,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,40,2.93939328,261.3442688,   2.82903600    0.43066686 ,1.07540667,0.43948555,0.45275864,0.08620793,0.06055344,0.0005635,0.02267662,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,45,3.22640562,259.5869751,   3.11312461    0.57209754 ,1.20283508,0.51983905,0.35129315,0.18739086,-0.01556395,-0.05571805,-0.09847903,,,,,,,,,,,,,
39.703129,-7.748782,32960.86,3942.3,9,0,50,3.35996437,255.78291321,   3.16483855    0.80183178 ,1.23447847,0.5974825,0.60356075,0.221764,-0.07582862,-0.11594864,-0.0697953,,,,,,,,,,,,,
